index,artist
1212,Paul Carrack
1213,Paul McCartney
1214,Paul Simon
1215,Paul Young
1216,Paula Abdul
1217,Paula Cole
1221,Peach Union
1222,Pearl Jam
1223,Pebbles
1224,Peggy Scott-Adams
1225,Perfect Gentlemen
1226,Perfect Stranger
1227,Pet Shop Boys
1228,Pete Rock & C.L. Smooth
1232,Peter Gabriel
1233,Peter Gunz
1234,Peter Murphy
1235,Peter Wolf
1236,Phajja
1237,Pharoahe Monch
1240,Pimp C
1241,Pink Floyd
1242,Planet Soul
1243,Playa
1244,Poco
1245,Poison
1246,Porno For Pyros
1247,Portishead
1248,Portrait
1249,Positive K
1250,Pras
1251,Pras Michel
1252,Pressha
1253,Pretenders
1254,Pretty In Pink
1255,Prince
1256,Princessa
1257,Product
1258,Public Announcement
1259,Public Enemy
1265,Puff Johnson
1266,Pure Soul
1267,Pure Sugar
1270,QT
1271,Qkumba Zoo
1278,Queen Pen
1279,Queen Pen 
1280,Queensryche
1281,Quincy Jones
1284,R.E.M.
1285,R.L.
1286,RAab
1287,REO Speedwagon
1288,RTZ
1289,RZA
1290,Radio
1291,Radiohead
1292,Raekwon
1293,Rage Against The Machine
1294,Raheem The Dream
1295,Rahzel
1298,Rampage
1299,Randy Travis
1302,Rapination
1303,Rappin' 4-Tay
1304,Rappin' Noyd
1305,Raven-Symone
1306,Ray J
1307,Ray Parker Jr.
1308,Raybon Bros.
1309,Rayvon
1310,Real McCoy
1311,Reality
1312,Reba
1313,Reba McEntire
1314,Rebekah
1315,Red Hot Chili Peppers
1316,Redhead Kingpin & The F.B.I.
1319,Rednex
1320,Reel 2 Real
1321,Reel Tight
1322,Refugee Allstars
1323,Refugee Camp All Stars
1326,Reiss
1327,Rell
1328,Remedy
1329,Republica
1330,Restless Heart
1331,Rhythm Syndicate
1332,Richard Marx
1333,Richie Rich
1334,Richie Sambora
1335,Rick Astley
1336,Ricky Martin
1337,Riff
1338,Right Said Fred
1339,Rob 'N' Raz
1340,Rob Thomas
1341,Robbie Nevil
1342,Robbie Williams
1343,Robert Miles
1344,Robert Palmer
1345,Robert Plant
1346,Roberta Flack
1347,Robin S.
1348,Robyn
1353,Rodney O
1354,Roger
1357,Rome
1361,Rosco Martinez
1362,Roula
1363,Roxette
1364,Rozalla
1367,Ruffneck
1368,Rufus Blaq
1369,Run-D.M.C.
1370,Russ Irwin
1371,Rusted Root
1372,S.O.A.P.
1373,SF Spanish Fly
1374,SHeDAISY
1375,SWV
1376,SaFire
1377,Sadat X
1378,Sade
1379,Sagat
1380,Saigon Kick
1383,Sam Salter
1384,Samantha Cole
1385,Sammy Kershaw
1386,Sandee
1387,Santana
1388,Sara Evans
1389,Sarah McLachlan
1390,Saraya
1391,Sass Jordan
1392,Savage Garden
1393,Sawyer Brown
1394,Scarface
1395,Scatman John
1396,Scorpions
1397,Seal
1398,Seduction
1399,Seiko
1400,Selena
1401,Seven Mary Three
1402,Shabba Ranks
1403,Shades
1404,Shae Jones
1407,Shai
1408,Shakespear's Sister
1409,Shana
1410,Shane Minor
1411,Shania Twain
1412,Shanice
1415,Sharon Bryant
1416,Shawn Christopher
1419,Shawn Mullins
1420,Shawn Stockman
1421,She Moves
1422,Sheek Of The Lox
1425,Sherrie Austin
1426,Sheryl Crow
1427,Shiro
1428,Shyheim
1429,Silk
1433,Simple E
1434,Simple Minds
1435,Simply Red
1436,Sinead O'Connor
1437,Siouxsie & The Banshees
1438,Sir Mix-A-Lot
1439,Sisqo
1440,Sisqo Featuring Make It Hot
1441,Sister 7
1442,Sister Hazel
1443,Sixpence None The Richer
1444,Skee-Lo
1445,Skid Row
1446,Skin Deep
1447,Skyy
1448,Slash
1449,Slaughter
1453,Smart E's
1454,Smash Mouth
1455,Smif-N-Wessun
1456,Smokey Robinson
1459,Snap!
1460,Sneaker Pimps
1465,Snow
1466,Sofia Shinas
1467,Soho
1470,Solo
1471,Somethin' For The People
1474,Sophie B. Hawkins
1475,Soul Asylum
1476,Soul For Real
1477,Soul II Soul
1478,Souls Of Mischief
1479,Sound Factory
1480,South Sentrell
1481,Southsyde B.O.I.Z.
1482,Spacehog
1483,Spacemonkeyz
1484,Special Generation
1485,Spice Girls
1486,Spin Doctors
1487,Spinderella
1488,Sponge
1489,Sporty Thievz
1490,St. Etienne
1491,St. Paul
1492,Stacy Earl
1493,Stardust
1494,"Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez"
1495,Starship
1496,Steelheart
1497,Stereo MC's
1498,Steve Perry
1501,Steve Winwood
1502,Stevie B
1503,Stevie Nicks
1504,Stevie Wonder
1507,Stretch
1508,Styx
1509,Sublime
1510,Subway
1511,Sudden Change
1512,Suga Free
1513,Suga T
1514,Sugar Ray
1515,Sunscreem
1516,Super Cat
1517,Supercat
1518,Surface
1519,Susanna Hoffs
1520,Suzanne Palmer
1521,Suzanne Vega
1522,Sweet Sable
1523,Sweet Sensation
1524,Sweetbox
1525,Swing Out Sister
1526,Swirl 360
1527,Sybil
1528,Sydney Youngblood
1529,Sylk-E. Fyne
1532,T.P.E.
1533,T.W.D.Y.
1534,TKA
1535,TLC
1536,TQ
1537,Tag
1538,Tag Team
1539,Take That
1540,Tal Bachman
1541,Tami Davis
1542,Tami Show
1547,Tamia With Portrai
1548,Tammy Wynette
1549,Tanto Metro & Devonte
1550,Tanya Blount
1551,Tara Kemp
1552,Tasha Holiday
1553,Tasmin Archer
1554,Tatyana Ali
1555,Taylor Dayne
1556,Teardrop
1557,Tears For Fears
1558,Technotronic
1559,Teddy Pendergrass
1562,Tela
1563,Tene Williams
1564,Terence Trent D'Arby
1565,Terri & Monica
1566,Terri Clark
1567,Terror Fabulous
1568,Terry Dexter
1569,Terry Ellis
1570,Tesla
1573,Tha Alkaholiks
1578,The 4 Of Us
1579,The 4 Seasons
1580,The Adventures Of Stevie V
1581,The B-52s
1582,The B.C. 52's
1583,The Badlees
1584,The Beatles
1585,The Beatnuts
1586,The Black Crowes
1587,The Blackout Allstars
1588,The Boys
